sbj_num,producto1,olor,color,overall_liking,sal,queso,crujiente,textura,porosidad
181064772,Fórmula 182,1,1,7,2,1,1,2,2
181064772,Fórmula 781,2,2,9,1,2,1,2,2
181069037,Fórmula 182,2,3,8,2,2,2,2,2
181069037,Fórmula 781,2,2,9,2,2,2,2,2
181168838,Fórmula 182,1,1,7,3,1,1,1,1
181168838,Fórmula 781,1,1,8,3,1,1,1,1
181059096,Fórmula 781,2,3,7,3,3,3,3,1
181059096,Fórmula 182,3,1,6,2,2,2,2,2
181016600,Fórmula 781,2,1,8,2,2,1,1,2
181016600,Fórmula 182,2,1,8,2,1,1,1,2
181118498,Fórmula 781,3,3,8,1,1,1,3,1
181118498,Fórmula 182,3,1,4,3,3,3,3,3
181018594,Fórmula 781,2,1,7,2,3,2,2,3
181018594,Fórmula 182,3,1,6,2,2,2,1,1
181016773,Fórmula 182,2,1,9,2,2,2,2,3
181016773,Fórmula 781,1,3,9,2,3,2,2,3
180966789,Fórmula 182,1,1,6,1,1,1,1,1
180966789,Fórmula 781,3,3,9,1,3,3,3,3
181111853,Fórmula 182,3,1,7,2,1,2,2,3
181111853,Fórmula 781,1,2,6,1,1,2,2,3
181113995,Fórmula 781,1,1,8,2,1,1,1,1
181113995,Fórmula 182,1,1,4,1,1,1,1,1
180971582,Fórmula 781,1,1,7,1,2,1,2,2
180971582,Fórmula 182,1,2,4,1,3,2,2,3
180947442,Fórmula 781,2,1,8,2,2,2,2,2
180947442,Fórmula 182,1,2,9,2,2,2,2,2
181116201,Fórmula 781,2,1,9,1,2,1,1,3
181116201,Fórmula 182,1,1,6,1,1,1,1,1
181009041,Fórmula 182,1,1,7,2,2,2,2,2
181009041,Fórmula 781,1,2,5,1,1,3,2,2
180966094,Fórmula 182,1,1,7,1,1,1,1,1
180966094,Fórmula 781,2,2,9,2,3,2,2,2
180966090,Fórmula 182,1,1,7,2,2,2,2,2
180966090,Fórmula 781,2,3,7,2,2,2,3,3
181071805,Fórmula 182,2,2,9,2,2,2,2,2
181071805,Fórmula 781,3,2,9,2,2,1,2,2
181013904,Fórmula 781,3,1,8,2,2,2,2,2
181013904,Fórmula 182,3,2,6,1,1,1,3,1
181031882,Fórmula 182,2,2,9,2,2,2,2,2
181031882,Fórmula 781,3,3,5,3,1,1,2,2
181009627,Fórmula 182,1,1,7,1,1,1,1,1
181009627,Fórmula 781,1,1,6,1,1,1,1,1
181071739,Fórmula 182,3,1,6,1,1,2,1,1
181071739,Fórmula 781,2,2,9,2,2,2,2,2
180945738,Fórmula 781,1,3,7,3,3,2,3,1
180945738,Fórmula 182,2,2,7,2,2,2,2,1
180969294,Fórmula 781,2,2,8,2,2,3,2,3
180969294,Fórmula 182,2,2,7,2,2,2,2,2
180971799,Fórmula 182,2,2,8,2,2,2,2,1
180971799,Fórmula 781,1,2,8,2,2,2,2,2
